Mapping ID,Mapping Type,Source Field Name,Source Field Path,Source Datatype,Source Format / Length,Source Required,Source Cardinality,Source Allowed Values,Source Sample Value (masked),Source Description,Target Field Name,Target Field Path,Target Datatype,Target Format / Length,Target Required,Target Cardinality,Target Allowed Values,Target Sample Value (masked),Target Description,Business Concept,Domain Playbook,Transformation Type,Transformation Rule,Transformation Expression,Condition,Default Value,Confidence %,Confidence Band,Reasoning,Evidence Sources,Data Loss Risk,PII / Sensitivity,Target Validation Rules,Review Status,Reviewer,Review Date,Reviewer Comments,Open Question
M011,Unmapped,,,,,,,,,,WebsiteUrl,/UnderwritingRequest/Merchant/WebsiteUrl,string,,No,Single,,https://northwind.example,,,,Direct,,,,,,,No playbook recognises this field and no source field matches it.,,None,None,,Needs review,,,,
M012,Many:1,firstName | lastName,$.owners[*].firstName | $.owners[*].lastName,string | string,,Yes | Yes,Array | Array,,Dana | Whitfield,,FullName,/UnderwritingRequest/Officers/Officer/FullName,string,,Yes,Array,,Dana Whitfield,,Principal.FullName,domain/principals@1.0.0,Concat,"Full name is first name, a space, then last name. (PRN-NAME-01: first = $.owners[*].firstName, last = $.owners[*].lastName)",,,,85,High,Target is Principal.FullName; domain/principals@1.0.0 derives it with rule PRN-NAME-01 from Principal.FirstName and Principal.LastName. Needs review: List pairing $.owners → /UnderwritingRequest/Officers/Officer needs review.,"Playbook: domain/principals@1.0.0 — Derivation PRN-NAME-01: Full name is first name, a space, then last name. | Playbook: domain/principals@1.0.0 — Source $.owners[*].firstName: Name matches equivalent term 'FirstName' (+60). Ancestor 'owners' names the Principal concept (+25). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.owners[*].firstName observed | Playbook: domain/principals@1.0.0 — Source $.owners[*].lastName: Name matches equivalent term 'LastName' (+60). Ancestor 'owners' names the Principal concept (+25). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.owners[*].lastName observed | Playbook: domain/principals@1.0.0 — Target /UnderwritingRequest/Officers/Officer/FullName: Name matches equivalent term 'FullName' (+60). Ancestor 'Officer' names the Principal concept (+25). | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Officers/Officer/FullName observed",None,PII,Likely required (present in every sample),Needs review,,,,"The system's list is not called owners. Are all of these people beneficial owners (25%+)? If not, which ones should be sent as principals?"
M013,1:1,title,$.owners[*].title,string,,No,Array,,CEO,,Title,/UnderwritingRequest/Officers/Officer/Title,string,,No,Array,,CEO,,Principal.Title,domain/principals@1.0.0,Direct,Copy,,,,85,High,Both fields are recognised as Principal.Title by domain/principals@1.0.0. Needs review: List pairing $.owners → /UnderwritingRequest/Officers/Officer needs review.,"Playbook: domain/principals@1.0.0 — Source $.owners[*].title: Name matches equivalent term 'Title' (+60). Ancestor 'owners' names the Principal concept (+25). | Sample: corp-three-owners.json, llc-two-owners.json — Source $.owners[*].title observed | Playbook: domain/principals@1.0.0 — Target /UnderwritingRequest/Officers/Officer/Title: Name matches equivalent term 'Title' (+60). Ancestor 'Officer' names the Principal concept (+25). | Sample: corp-application.xml — Target /UnderwritingRequest/Officers/Officer/Title observed",None,None,,Needs review,,,,"The system's list is not called owners. Are all of these people beneficial owners (25%+)? If not, which ones should be sent as principals?"
M014,1:1,ssn,$.owners[*].ssn,string,,Yes,Array,,***-**-2020,,SSN,/UnderwritingRequest/Officers/Officer/SSN,string,,Yes,Array,,*****2020,,Principal.Ssn,domain/principals@1.0.0,Type Cast,Reformat 999-99-9999 → 999999999,,,,95,High,Both fields are recognised as Principal.Ssn by domain/principals@1.0.0. Needs review: List pairing $.owners → /UnderwritingRequest/Officers/Officer needs review.,"Playbook: domain/principals@1.0.0 — Source $.owners[*].ssn: Name matches equivalent term 'Ssn' (+60). Ancestor 'owners' names the Principal concept (+25). Signal PRN-SIG-SSN-SHAPE (nine digits) (+10). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.owners[*].ssn observed | Playbook: domain/principals@1.0.0 — Target /UnderwritingRequest/Officers/Officer/SSN: Name matches equivalent term 'Ssn' (+60). Ancestor 'Officer' names the Principal concept (+25). Signal PRN-SIG-SSN-SHAPE (nine digits) (+10). | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Officers/Officer/SSN observed",None,Sensitive PII,Likely required (present in every sample),Needs review,,,,"The system's list is not called owners. Are all of these people beneficial owners (25%+)? If not, which ones should be sent as principals?"
M015,1:1,ownershipPercent,$.owners[*].ownershipPercent,decimal,,Yes,Array,,0.5,,OwnershipPct,/UnderwritingRequest/Officers/Officer/OwnershipPct,integer,,Yes,Array,,50,,Principal.OwnershipPercent,domain/principals@1.0.0,Unit Conversion,Fraction (0–1) to percent (0–100). (PRN-PCT-01: fraction = $.owners[*].ownershipPercent),fraction * 100,,,95,High,Target is Principal.OwnershipPercent [unit=percent]; domain/principals@1.0.0 derives it with rule PRN-PCT-01 from Principal.OwnershipPercent [unit=fraction]. Needs review: Source match needs review (QualifierConflict). List pairing $.owners → /UnderwritingRequest/Officers/Officer needs review.,"Playbook: domain/principals@1.0.0 — Derivation PRN-PCT-01: fraction * 100 | Playbook: domain/principals@1.0.0 — Source $.owners[*].ownershipPercent: Name matches equivalent term 'OwnershipPercent' (+60). Ancestor 'owners' names the Principal concept (+25). Signal PRN-SIG-PCT-RANGE (values between 0 and 100) (+10). unit=fraction from observed values 0.2–1. | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.owners[*].ownershipPercent observed | Playbook: domain/principals@1.0.0 — Target /UnderwritingRequest/Officers/Officer/OwnershipPct: Name matches equivalent term 'ownership pct' (+60). Ancestor 'Officer' names the Principal concept (+25). Signal PRN-SIG-PCT-RANGE (values between 0 and 100) (+10). unit=percent from the name. | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Officers/Officer/OwnershipPct observed",None,None,Likely required (present in every sample) | PRN-VAL-01: Total ownership cannot exceed 100%. | PRN-VAL-02: Principals together should own at least 25% (beneficial-ownership rule).,Needs review,,,,"The system's list is not called owners. Are all of these people beneficial owners (25%+)? If not, which ones should be sent as principals? Is ownership sent as a fraction (0–1) or a percent (0–100)?"
M016,1:1,dateOfBirth,$.owners[*].dateOfBirth,date,yyyy-MM-dd,Yes,Array,,****-01-30,,DateOfBirth,/UnderwritingRequest/Officers/Officer/DateOfBirth,date,yyyy-MM-dd,Yes,Array,,****-01-30,,Principal.DateOfBirth,domain/principals@1.0.0,Direct,Copy,,,,95,High,Both fields are recognised as Principal.DateOfBirth by domain/principals@1.0.0. Needs review: List pairing $.owners → /UnderwritingRequest/Officers/Officer needs review.,"Playbook: domain/principals@1.0.0 — Source $.owners[*].dateOfBirth: Name matches equivalent term 'DateOfBirth' (+60). Ancestor 'owners' names the Principal concept (+25). Signal PRN-SIG-DOB-TYPE (a date) (+10). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.owners[*].dateOfBirth observed | Playbook: domain/principals@1.0.0 — Target /UnderwritingRequest/Officers/Officer/DateOfBirth: Name matches equivalent term 'DateOfBirth' (+60). Ancestor 'Officer' names the Principal concept (+25). Signal PRN-SIG-DOB-TYPE (a date) (+10). | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Officers/Officer/DateOfBirth observed",None,Sensitive PII,Likely required (present in every sample),Needs review,,,,"The system's list is not called owners. Are all of these people beneficial owners (25%+)? If not, which ones should be sent as principals?"
M017,1:1,annualCardVolume,$.processing.annualCardVolume,integer,,Yes,Single,,***0000,,MonthlyVolume,/UnderwritingRequest/Processing/MonthlyVolume,decimal,,Yes,Single,,****00.00,,ProcessingVolume.CardVolume,domain/processing-volume@1.0.0,Period Conversion,Annual volume to monthly volume. (VOL-PERIOD-01: annual = $.processing.annualCardVolume),annual / 12,,,95,High,Target is ProcessingVolume.CardVolume [period=monthly]; domain/processing-volume@1.0.0 derives it with rule VOL-PERIOD-01 from ProcessingVolume.CardVolume [period=annual]. Assumption: Assumes volume is spread evenly; seasonal merchants may differ.,"Playbook: domain/processing-volume@1.0.0 — Derivation VOL-PERIOD-01: annual / 12 | Playbook: domain/processing-volume@1.0.0 — Source $.processing.annualCardVolume: Name matches equivalent term 'CardVolume' (+60). Ancestor 'processing' names the ProcessingVolume concept (+25). Signal VOL-SIG-NUM-VOL (numeric) (+10). period=annual from the name. | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.processing.annualCardVolume observed | Playbook: domain/processing-volume@1.0.0 — Target /UnderwritingRequest/Processing/MonthlyVolume: Name matches equivalent term 'volume' (+60). Ancestor 'Processing' names the ProcessingVolume concept (+25). Signal VOL-SIG-NUM-VOL (numeric) (+10). period=monthly from the name. | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Processing/MonthlyVolume observed",None,Financial,Likely required (present in every sample) | VOL-VAL-02: Volume cannot be negative.,Auto-accepted,,,,
M018,1:1,averageTicket,$.processing.averageTicket,decimal,,Yes,Single,,42.1,,AverageTicket,/UnderwritingRequest/Processing/AverageTicket,decimal,,Yes,Single,,42.10,,ProcessingVolume.AverageTicket,domain/processing-volume@1.0.0,Direct,Copy,,,,95,High,Both fields are recognised as ProcessingVolume.AverageTicket by domain/processing-volume@1.0.0.,"Playbook: domain/processing-volume@1.0.0 — Source $.processing.averageTicket: Name matches equivalent term 'AverageTicket' (+60). Ancestor 'processing' names the ProcessingVolume concept (+25). Signal VOL-SIG-NUM-AVG (numeric) (+10). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.processing.averageTicket observed | Playbook: domain/processing-volume@1.0.0 — Target /UnderwritingRequest/Processing/AverageTicket: Name matches equivalent term 'AverageTicket' (+60). Ancestor 'Processing' names the ProcessingVolume concept (+25). Signal VOL-SIG-NUM-AVG (numeric) (+10). | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Processing/AverageTicket observed",None,Financial,Likely required (present in every sample) | VOL-VAL-01: Average ticket cannot be above high ticket.,Auto-accepted,,,,
M019,Unmapped,,,,,,,,,,HighTicket,/UnderwritingRequest/Processing/HighTicket,decimal,,No,Single,,**00.00,,ProcessingVolume.HighTicket,domain/processing-volume@1.0.0,Direct,,,,,,,"Recognised as ProcessingVolume.HighTicket by domain/processing-volume@1.0.0, but no source field provides it.",Playbook: domain/processing-volume@1.0.0 — Target /UnderwritingRequest/Processing/HighTicket: Name matches equivalent term 'HighTicket' (+60). Ancestor 'Processing' names the ProcessingVolume concept (+25). Signal VOL-SIG-NUM-HIGH (numeric) (+10). | Sample: corp-application.xml — Target /UnderwritingRequest/Processing/HighTicket observed,None,Financial,VOL-VAL-01: Average ticket cannot be above high ticket.,Needs review,,,,
M020,1:1,cardPresentPercent,$.processing.cardPresentPercent,integer,,Yes,Single,,80,,CardPresentPct,/UnderwritingRequest/Processing/CardPresentPct,integer,,Yes,Single,,80,,ChannelMix.CardPresent,domain/channel-mix@1.0.0,Rename,Copy cardPresentPercent to CardPresentPct,,,,95,High,Both fields are recognised as ChannelMix.CardPresent [unit=percent] by domain/channel-mix@1.0.0.,"Playbook: domain/channel-mix@1.0.0 — Source $.processing.cardPresentPercent: Name matches equivalent term 'CardPresent' (+60). Ancestor 'processing' names the ChannelMix concept (+25). Signal MIX-SIG-RANGE-CARDPRESENT (a share between 0 and 100) (+10). unit=percent from the name. | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.processing.cardPresentPercent observed | Playbook: domain/channel-mix@1.0.0 — Target /UnderwritingRequest/Processing/CardPresentPct: Name matches equivalent term 'CardPresent' (+60). Ancestor 'Processing' names the ChannelMix concept (+25). Signal MIX-SIG-RANGE-CARDPRESENT (a share between 0 and 100) (+10). unit=percent from the name. | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Processing/CardPresentPct observed",None,None,"Likely required (present in every sample) | MIX-VAL-01: Card-present, MOTO and e-commerce add up to 100%. | MIX-VAL-02: Card-present and card-not-present add up to 100%.",Auto-accepted,,,,
M021,Many:1,motoPercent | ecommPercent,$.processing.motoPercent | $.processing.ecommPercent,integer | integer,,Yes | Yes,Single | Single,,0 | 20,,CardNotPresentPct,/UnderwritingRequest/Processing/CardNotPresentPct,integer,,Yes,Single,,20,,ChannelMix.CardNotPresent,domain/channel-mix@1.0.0,Aggregate,"Card-not-present is MOTO plus e-commerce. (MIX-CNP-01: moto = $.processing.motoPercent, ecomm = $.processing.ecommPercent)",moto + ecomm,,,95,High,Target is ChannelMix.CardNotPresent [unit=percent]; domain/channel-mix@1.0.0 derives it with rule MIX-CNP-01 from ChannelMix.Moto [unit=percent] and ChannelMix.Ecommerce [unit=percent]. Rule(s) MIX-CNP-02 (100 - cp) also apply and can cross-check the result.,"Playbook: domain/channel-mix@1.0.0 — Derivation MIX-CNP-01: moto + ecomm | Playbook: domain/channel-mix@1.0.0 — Source $.processing.motoPercent: Name matches equivalent term 'Moto' (+60). Ancestor 'processing' names the ChannelMix concept (+25). Signal MIX-SIG-RANGE-MOTO (a share between 0 and 100) (+10). unit=percent from the name. | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.processing.motoPercent observed | Playbook: domain/channel-mix@1.0.0 — Source $.processing.ecommPercent: Name matches equivalent term 'ecomm' (+60). Ancestor 'processing' names the ChannelMix concept (+25). Signal MIX-SIG-RANGE-ECOMMERCE (a share between 0 and 100) (+10). unit=percent from the name. | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.processing.ecommPercent observed | Playbook: domain/channel-mix@1.0.0 — Target /UnderwritingRequest/Processing/CardNotPresentPct: Name matches equivalent term 'CardNotPresent' (+60). Ancestor 'Processing' names the ChannelMix concept (+25). Signal MIX-SIG-RANGE-CARDNOTPRESENT (a share between 0 and 100) (+10). unit=percent from the name. | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Processing/CardNotPresentPct observed",None,None,Likely required (present in every sample) | MIX-VAL-02: Card-present and card-not-present add up to 100%.,Auto-accepted,,,,
M022,1:1,routingNumber,$.bank.routingNumber,string,,Yes,Single,,*****0024,,RoutingNumber,/UnderwritingRequest/Settlement/RoutingNumber,string,,Yes,Single,,*****0024,,,,Direct,Copy,,,,70,Medium,"Matched by field name only (routingNumber ~ RoutingNumber); no playbook rule links the two fields. Needs review: Name-only match; confirm the meaning, then add the terms to a playbook.","Name Similarity: routingNumber ~ RoutingNumber — Name score 70 | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.bank.routingNumber observed | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Settlement/RoutingNumber observed",None,Sensitive PII,Likely required (present in every sample),Needs review,,,,
M023,1:1,accountNumber,$.bank.accountNumber,string,,Yes,Single,,********6655,,AccountNumber,/UnderwritingRequest/Settlement/AccountNumber,string,,Yes,Single,,********6655,,,,Direct,Copy,,,,70,Medium,"Matched by field name only (accountNumber ~ AccountNumber); no playbook rule links the two fields. Needs review: Name-only match; confirm the meaning, then add the terms to a playbook.","Name Similarity: accountNumber ~ AccountNumber — Name score 70 | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.bank.accountNumber observed | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Settlement/AccountNumber observed",None,Sensitive PII,Likely required (present in every sample),Needs review,,,,
